1159033_0_COMx,1159033_0_COMy,1159033_0_COMz,1159033_1_COMx,1159033_1_COMy,1159033_1_COMz,639486_0_COMx,639486_0_COMy,639486_0_COMz,639486_1_COMx,639486_1_COMy,639486_1_COMz,639486_2_COMx,639486_2_COMy,639486_2_COMz,639486_3_COMx,639486_3_COMy,639486_3_COMz,7433301_0_COMx,7433301_0_COMy,7433301_0_COMz,7433301_1_COMx,7433301_1_COMy,7433301_1_COMz,7433301_2_COMx,7433301_2_COMy,7433301_2_COMz,7433301_3_COMx,7433301_3_COMy,7433301_3_COMz,7433301_4_COMx,7433301_4_COMy,7433301_4_COMz,8793077_0_COMx,8793077_0_COMy,8793077_0_COMz,8793077_1_COMx,8793077_1_COMy,8793077_1_COMz,8793077_2_COMx,8793077_2_COMy,8793077_2_COMz,8833418_0_COMx,8833418_0_COMy,8833418_0_COMz,8833418_1_COMx,8833418_1_COMy,8833418_1_COMz,8833418_2_COMx,8833418_2_COMy,8833418_2_COMz,256587_0_COMx,256587_0_COMy,256587_0_COMz,256587_1_COMx,256587_1_COMy,256587_1_COMz,256587_2_COMx,256587_2_COMy,256587_2_COMz,256587_3_COMx,256587_3_COMy,256587_3_COMz,2657201_0_COMx,2657201_0_COMy,2657201_0_COMz,2657201_1_COMx,2657201_1_COMy,2657201_1_COMz,5139716_0_COMx,5139716_0_COMy,5139716_0_COMz,5139716_1_COMx,5139716_1_COMy,5139716_1_COMz,7466188_0_COMx,7466188_0_COMy,7466188_0_COMz,7466188_1_COMx,7466188_1_COMy,7466188_1_COMz,8442648_0_COMx,8442648_0_COMy,8442648_0_COMz,8442648_1_COMx,8442648_1_COMy,8442648_1_COMz,8442648_2_COMx,8442648_2_COMy,8442648_2_COMz,8442648_3_COMx,8442648_3_COMy,8442648_3_COMz
-0.807181,51.339882,93.75087,-2.659068,46.583946,94.783783,2.486461,47.58062,95.356697,2.521099,37.486748,95.105614,4.394684,53.270741,95.31041,3.956098,59.548843,94.91893,1.662197,55.280514,89.444122,0.742667,51.415386,88.814621,0.085894,39.662334,89.482307,0.694196,42.535206,90.770401,1.126831,42.852295,90.13652,4.027966,46.279121,100.288101,4.988016,43.554508,99.563225,4.621409,41.198776,99.367737,-0.951767,51.732315,93.27076,-1.812322,55.267326,90.544373,1.037429,48.836159,90.227333,0.33368,45.913074,99.430458,0.730344,55.696934,100.416428,1.159285,51.375847,99.753769,-0.123502,45.618382,100.158394,-0.381212,49.261822,89.52256,-0.654363,51.304108,89.972252,2.441192,41.274658,94.99334,2.131431,49.650448,95.034836,5.26449,50.056824,96.516624,4.565225,41.127228,95.768402,1.561509,62.035397,90.485695,2.322712,55.45813,89.680916,3.111278,52.239594,89.986984,2.581131,58.805202,89.844948
-0.788765,51.355793,93.79435,-2.727431,46.617355,94.720322,2.471737,47.584053,95.335205,2.526729,37.488972,95.121033,4.379491,53.285286,95.295662,3.956975,59.550571,94.896873,1.658312,55.264816,89.419922,0.728068,51.442966,88.79702,0.128773,39.674458,89.449059,0.67323,42.539272,90.783096,1.074002,42.843143,90.151154,4.028626,46.269577,100.34082,4.958493,43.572998,99.515533,4.67618,41.286575,99.305588,-0.937853,51.709095,93.305191,-1.831685,55.264378,90.522858,1.062963,48.811749,90.302109,0.414378,45.920929,99.461372,0.731808,55.741039,100.404251,1.075717,51.339905,99.766342,-0.191139,45.656456,100.118904,-0.362919,49.239914,89.52729,-0.659527,51.291267,89.948906,2.443986,41.270954,94.978516,2.135543,49.650604,95.020126,5.341951,50.034813,96.510605,4.538759,41.126438,95.765022,1.56261,62.032913,90.472961,2.322608,55.447689,89.672821,3.10743,52.24192,89.986404,2.56023,58.786858,89.809685
-0.816407,51.364246,93.787491,-2.703455,46.627789,94.692719,2.487233,47.58757,95.330544,2.541314,37.481476,95.072311,4.402944,53.319801,95.292496,3.916885,59.563751,94.915527,1.658894,55.253304,89.427032,0.746122,51.458439,88.809814,0.116918,39.689739,89.423347,0.662276,42.551964,90.759888,1.090551,42.83942,90.144356,3.993092,46.256012,100.367638,5.066041,43.61076,99.5355,4.685575,41.294052,99.284348,-0.970282,51.705326,93.304192,-1.933181,55.252132,90.513802,1.018193,48.832993,90.320633,0.383282,45.936413,99.445778,0.732431,55.716351,100.37867,1.082622,51.378021,99.751961,-0.236153,45.681408,100.12693,-0.382437,49.233479,89.546005,-0.639946,51.278751,89.942085,2.441238,41.288757,94.979759,2.157925,49.661118,95.003853,5.316291,50.036396,96.506149,4.492885,41.118023,95.755058,1.587245,62.050171,90.482613,2.312979,55.441795,89.65554,3.098342,52.24754,90.003693,2.566909,58.814289,89.829887
-0.864853,51.347076,93.769836,-2.698643,46.608215,94.708923,2.506891,47.595749,95.325012,2.507997,37.496002,95.083939,4.395451,53.321671,95.30423,3.930895,59.57468,94.92054,1.598221,55.251442,89.447823,0.744754,51.467457,88.798798,0.173368,39.720161,89.412483,0.670379,42.548733,90.776703,1.065632,42.834858,90.156113,3.974394,46.26683,100.350273,4.957023,43.666229,99.516663,4.670937,41.306664,99.322899,-0.951601,51.722946,93.314201,-1.887421,55.27607,90.529869,1.023371,48.82896,90.327621,0.370457,45.92627,99.448845,0.741701,55.714783,100.394714,1.066648,51.382519,99.75367,-0.243961,45.671513,100.124527,-0.350347,49.231861,89.549576,-0.683436,51.271873,89.944328,2.40467,41.28191,94.974724,2.153053,49.666809,95.012703,5.280467,50.012218,96.51532,4.492979,41.12336,95.741684,1.590042,62.039276,90.480141,2.285179,55.451977,89.657928,3.086373,52.255562,89.997299,2.550424,58.843143,89.844032
-0.898069,51.353256,93.776665,-2.682716,46.625446,94.700981,2.522261,47.602795,95.311012,2.515117,37.516289,95.081833,4.391017,53.323399,95.297104,3.934809,59.58337,94.930695,1.569761,55.228249,89.457733,0.778709,51.477409,88.808281,0.100013,39.727745,89.431587,0.699176,42.556618,90.747253,1.074054,42.84021,90.155365,3.935501,46.252487,100.345207,4.970995,43.723213,99.511337,4.644044,41.332756,99.291237,-0.950825,51.726082,93.323723,-1.906209,55.279434,90.537552,1.032333,48.832233,90.313835,0.370824,45.952053,99.448616,0.751079,55.710552,100.383804,1.095915,51.401112,99.74073,-0.255784,45.700531,100.09687,-0.400172,49.237503,89.536156,-0.691607,51.270817,89.912552,2.445157,41.306561,94.966545,2.174922,49.635468,95.016457,5.262948,49.998398,96.488747,4.51426,41.120052,95.745728,1.573014,62.035801,90.478821,2.275938,55.44582,89.661652,3.081045,52.269363,89.990425,2.593207,58.830681,89.830025
-0.865698,51.355206,93.803673,-2.706386,46.621891,94.703453,2.517694,47.603813,95.313812,2.473533,37.519054,95.070381,4.365137,53.330441,95.294342,3.944134,59.590797,94.932465,1.484658,55.21183,89.474434,0.792279,51.470173,88.831154,0.073254,39.742432,89.452339,0.663521,42.542629,90.76059,1.097034,42.827751,90.140747,3.935836,46.246994,100.35704,5.049481,43.762047,99.50206,4.687467,41.336124,99.282036,-0.935641,51.712299,93.330307,-1.904063,55.269417,90.524467,1.042152,48.826515,90.320007,0.358784,45.965061,99.40329,0.752187,55.716164,100.38858,1.046259,51.392456,99.754364,-0.274728,45.696533,100.112808,-0.386731,49.224228,89.526688,-0.708946,51.255875,89.918396,2.445482,41.303169,94.964172,2.177946,49.636669,95.00843,5.284357,49.993084,96.482094,4.496015,41.123528,95.746262,1.589812,62.033585,90.485435,2.263856,55.428963,89.666595,3.085114,52.26376,89.992744,2.602093,58.821247,89.834404
-0.895574,51.344986,93.793533,-2.696257,46.625481,94.69371,2.541104,47.608742,95.304512,2.488899,37.509575,95.063011,4.372699,53.32214,95.287498,3.927554,59.595005,94.927322,1.492073,55.19672,89.477081,0.81843,51.488319,88.815979,0.088135,39.759834,89.447838,0.674169,42.541023,90.763863,1.110591,42.836605,90.129044,3.910118,46.252106,100.354538,4.976089,43.77343,99.555489,4.669535,41.34943,99.275497,-0.960358,51.705132,93.320259,-1.913744,55.272266,90.538574,1.026745,48.823257,90.333443,0.337328,45.943745,99.383873,0.745022,55.700611,100.390869,1.040629,51.393158,99.747818,-0.263434,45.694103,100.112007,-0.379708,49.222389,89.524979,-0.706825,51.248543,89.922371,2.463275,41.297749,94.958733,2.174321,49.645882,95.019211,5.256485,49.981037,96.494675,4.511409,41.125351,95.743195,1.581396,62.035561,90.497101,2.311321,55.447342,89.673698,3.093874,52.263935,89.989761,2.608265,58.832245,89.830353
-0.872289,51.343357,93.810532,-2.658949,46.616352,94.700951,2.545081,47.610592,95.302452,2.491411,37.522247,95.07724,4.367569,53.321808,95.290787,3.965705,59.615318,94.949203,1.483325,55.188492,89.466919,0.872556,51.49786,88.79818,0.113098,39.769672,89.435051,0.678355,42.544048,90.776413,1.106019,42.821842,90.127098,3.87522,46.235245,100.383583,5.11961,43.847496,99.544708,4.652947,41.348114,99.283867,-0.900242,51.689034,93.311852,-1.921775,55.252129,90.494423,1.006467,48.820381,90.330673,0.328258,45.957573,99.383987,0.728501,55.711159,100.377686,1.056279,51.400555,99.728073,-0.264091,45.697304,100.107056,-0.382854,49.236942,89.519974,-0.696141,51.247597,89.926254,2.456665,41.297585,94.972992,2.169801,49.657257,95.033585,5.244425,49.986778,96.498817,4.50616,41.108746,95.744621,1.593453,62.040901,90.491638,2.279153,55.427006,89.687614,3.090036,52.271996,89.993309,2.643341,58.83477,89.830742
-0.910775,51.332832,93.792038,-2.650442,46.618542,94.710899,2.539892,47.623825,95.297714,2.498083,37.530296,95.086761,4.356845,53.323326,95.28746,3.968994,59.635952,94.951698,1.464391,55.17215,89.48172,0.88567,51.508686,88.809784,0.087198,39.799862,89.414452,0.680023,42.536285,90.767586,1.118625,42.829193,90.126968,3.853608,46.249088,100.388008,5.070138,43.894371,99.587311,4.639597,41.362022,99.306076,-0.879045,51.674667,93.332642,-2.020975,55.27953,90.508781,1.007259,48.814049,90.329498,0.319255,45.942142,99.409248,0.754905,55.717739,100.379272,1.048682,51.409718,99.721359,-0.24182,45.693943,100.090286,-0.388811,49.236877,89.53064,-0.688213,51.236858,89.918945,2.466475,41.304203,94.951767,2.177528,49.650303,95.015213,5.261296,49.979836,96.49955,4.544808,41.106434,95.732742,1.58087,62.042084,90.493034,2.339314,55.421955,89.637489,3.068849,52.271717,89.995178,2.652814,58.834751,89.821487
-0.893526,51.339081,93.791267,-2.647965,46.604362,94.72094,2.567128,47.636028,95.304825,2.466347,37.52504,95.085472,4.361763,53.327755,95.289261,3.997239,59.648533,94.929733,1.360221,55.165684,89.475166,0.899063,51.509659,88.801064,0.093844,39.81411,89.416794,0.677719,42.536125,90.766808,1.095273,42.824852,90.130638,3.816636,46.252968,100.390121,5.114602,43.945862,99.559486,4.587208,41.40081,99.28093,-0.929373,51.669064,93.326225,-2.038821,55.276897,90.521729,1.017271,48.802513,90.351616,0.301474,45.959435,99.384422,0.749444,55.702736,100.3946,1.039868,51.41692,99.722755,-0.251515,45.693085,100.075157,-0.400824,49.236225,89.522408,-0.674653,51.240818,89.921516,2.475925,41.299332,94.93615,2.173689,49.668762,95.01828,5.256752,49.972054,96.501648,4.503179,41.081463,95.758553,1.586365,62.047466,90.504395,2.357028,55.416916,89.638763,3.064037,52.265587,89.993752,2.627285,58.829582,89.828743
